,X,Y,,log(x),log(y)
1,2,83,,0.301029996,1.919078092
2,4,63,,0.602059991,1.799340549
3,8,38,,0.903089987,1.579783597
4,6,26,,0.77815125,1.414973348
5,10,18,,1,1.255272505
6,12,15,,1.079181246,1.176091259
7,22,10,,1.342422681,1
8,16,9,,1.204119983,0.954242509
9,30,8,,1.477121255,0.903089987
10,20,8,,1.301029996,0.903089987
11,26,7,,1.414973348,0.84509804
12,34,6,,1.531478917,0.77815125
13,18,6,,1.255272505,0.77815125
14,14,5,,1.146128036,0.698970004
15,24,4,,1.380211242,0.602059991
16,40,3,,1.602059991,0.477121255
17,44,3,,1.643452676,0.477121255
18,38,3,,1.579783597,0.477121255
19,76,2,,1.880813592,0.301029996
20,50,2,,1.698970004,0.301029996
21,82,2,,1.913813852,0.301029996
22,32,2,,1.505149978,0.301029996
23,54,2,,1.73239376,0.301029996
24,56,2,,1.748188027,0.301029996
25,62,2,,1.792391689,0.301029996
26,48,2,,1.681241237,0.301029996
27,178,1,,2.250420002,0
28,268,1,,2.428134794,0
29,104,1,,2.017033339,0
30,36,1,,1.556302501,0
31,28,1,,1.447158031,0
32,58,1,,1.763427994,0
33,86,1,,1.934498451,0
34,80,1,,1.903089987,0
35,160,1,,2.204119983,0
36,46,1,,1.662757832,0
37,64,1,,1.806179974,0
