Id,Label,weight
Liu Bei,Liu Bei,218
Zhang Fei,Zhang Fei,146
Cao Cao,Cao Cao,77
Lü Bu,Lü Bu,104
Xu Shu,Xu Shu,53
Dong Zhuo,Dong Zhuo,49
Ma Chao,Ma Chao,42
Guan Yu,Guan Yu,31
The emperor,The emperor,30
Sima Zhongxiang,Sima Zhongxiang,25
Zhuge Liang,Zhuge Liang,21
Zhang Bao,Zhang Bao,19
Zhao Yun,Zhao Yun,17
Zhang Biao,Zhang Biao,13
the prefect,the prefect,12
Chen Gong,Chen Gong,10
The eight men,The eight men,9
Wang Yun,Wang Yun,9
Zhang Jue,Zhang Jue,8
the Prince of Yan,the Prince of Yan,7
Sima Yi,Sima Yi,6
Emperor Xian,Emperor Xian,6
The grand marshal,The grand marshal,6
Ji Ling,Ji Ling,6
Xiahou Dun,Xiahou Dun,6
The Prince of Yan,The Prince of Yan,5
Yuan Shao,Yuan Shao,5
Huangfu Song,Huangfu Song,4
Jian Xianhe,Jian Xianhe,4
Ten Constant Attendants,Ten Constant Attendants,4
Dong Cheng,Dong Cheng,4
Yuan Shu,Yuan Shu,4
Sun Jian,Sun Jian,4
The Prince of Ji,The Prince of Ji,4
Hou Cheng,Hou Cheng,4
the prince,the prince,3
Duan Gui,Duan Gui,3
Li Su,Li Su,3
Cao Bao,Cao Bao,3
Emperor Ling,Emperor Ling,2
The schoolteacher,The schoolteacher,2
Imperial Father,Imperial Father,2
the Prince of Ji,the Prince of Ji,2
The Inspector General,The Inspector General,1
Li Ru,Li Ru,1
the farmer,the farmer,1
Yang Feng,Yang Feng,1
Zhang Ben,Zhang Ben,1
Zhang Liao,Zhang Liao,1
