Id,Label,weight
Cao Cao,Cao Cao,2050
Liu Bei,Liu Bei,1491
Guan Yu,Guan Yu,750
Zhuge Liang,Zhuge Liang,611
Lu Bu,Lu Bu,437
Zhang Fei,Zhang Fei,431
Zhou Yu,Zhou Yu,420
Sun Quan,Sun Quan,410
Yuan Shao,Yuan Shao,344
Zhao Yun,Zhao Yun,288
Dong Zhuo,Dong Zhuo,226
Lu Su,Lu Su,220
Prime Minister,Prime Minister,217
Ma Chao,Ma Chao,210
Sun Ce,Sun Ce,172
Liu Biao,Liu Biao,165
Huang Zhong,Huang Zhong,163
Zhang Liao,Zhang Liao,145
Imperial Protector,Imperial Protector,132
Cao Ren,Cao Ren,130
South Land,South Land,128
Yuan Shu,Yuan Shu,121
Xu Huang,Xu Huang,119
Zhang He,Zhang He,119
Xiahou Dun,Xiahou Dun,115
Pang Tong,Pang Tong,106
First Ruler,First Ruler,105
Xu Chu,Xu Chu,104
Yu Ji,Yu Ji,102
Pang De,Pang De,99
Cao Hong,Cao Hong,98
Lu Meng,Lu Meng,97
Liu Zhang,Liu Zhang,95
Li Jue,Li Jue,92
Sun Jian,Sun Jian,90
Gan Ning,Gan Ning,90
Wei Yan,Wei Yan,86
Chen Gong,Chen Gong,85
Wang Yun,Wang Yun,83
Xiahou Yuan,Xiahou Yuan,83
Sun Qian,Sun Qian,83
Dong Cheng,Dong Cheng,83
Huang Gai,Huang Gai,81
Yu Jin,Yu Jin,81
Guo Si,Guo Si,78
Lu Xun,Lu Xun,74
Jia Xu,Jia Xu,73
Guan Ping,Guan Ping,72
Li Dian,Li Dian,71
Cai Mao,Cai Mao,70
Cao Pi,Cao Pi,68
Xun Yu,Xun Yu,66
Zhang Zhao,Zhang Zhao,66
Gongsun Zan,Gongsun Zan,64
Zhang Lu,Zhang Lu,61
Yuan Shang,Yuan Shang,59
Cheng Pu,Cheng Pu,58
Mi Zhu,Mi Zhu,58
Taishi Ci,Taishi Ci,57
Han Sui,Han Sui,55
Yuan Tan,Yuan Tan,54
Zhang Song,Zhang Song,54
Kong Rong,Kong Rong,53
Chen Deng,Chen Deng,53
Liu Feng,Liu Feng,52
Ma Teng,Ma Teng,51
Zhou Tai,Zhou Tai,51
Han Dang,Han Dang,50
Fa Zheng,Fa Zheng,49
Cheng Yu,Cheng Yu,48
Li Ru,Li Ru,48
Dian Wei,Dian Wei,48
Shen Pei,Shen Pei,48
Meng Da,Meng Da,48
Yan Yan,Yan Yan,48
Zhang Bao,Zhang Bao,47
Zhang Xiu,Zhang Xiu,47
Guo Jia,Guo Jia,45
He Jin,He Jin,44
Huang Zu,Huang Zu,44
Xu Shu,Xu Shu,44
Yue Jin,Yue Jin,42
Tao Qian,Tao Qian,42
Zhuge Jin,Zhuge Jin,42
Guan Xing,Guan Xing,42
Liu Qi,Liu Qi,40
Jiang Gan,Jiang Gan,40
Yang Feng,Yang Feng,39
Yang Xiu,Yang Xiu,39
Kan Ze,Kan Ze,38
Hua Xin,Hua Xin,36
Xun You,Xun You,35
Wen Chou,Wen Chou,35
Xu Sheng,Xu Sheng,35
Ling Tong,Ling Tong,35
Li Su,Li Su,34
Xu You,Xu You,34
Guo Tu,Guo Tu,33
Zhang Yi,Zhang Yi,32
Liao Hua,Liao Hua,32
Tian Feng,Tian Feng,31
Mi Heng,Mi Heng,31
Zhang Ren,Zhang Ren,31
Guan Lu,Guan Lu,31
Jian Yong,Jian Yong,30
Lady Sun,Lady Sun,30
Huang Quan,Huang Quan,30
Gao Shun,Gao Shun,29
Ma Dai,Ma Dai,29
Ding Feng,Ding Feng,28
Zhang Ji,Zhang Ji,27
Ma Liang,Ma Liang,27
Zhu Jun,Zhu Jun,26
Jiang Qi,Jiang Qi,26
Diao Chan,Diao Chan,25
Ji Ping,Ji Ping,25
Yi Ji,Yi Ji,25
Man Chong,Man Chong,24
Cao Xi,Cao Xi,24
Ji Ling,Ji Ling,24
Cao Zhi,Cao Zhi,24
Liu Ye,Liu Ye,23
Lu Fan,Lu Fan,23
Hua Tuo,Hua Tuo,23
Zhou Cang,Zhou Cang,23
Liu Zong,Liu Zong,22
Wen Ping,Wen Ping,22
Yang Fu,Yang Fu,22
Yang Song,Yang Song,22
Fu Shiren,Fu Shiren,22
Zhang Jue,Zhang Jue,21
Liu Xian,Liu Xian,21
Xin Pi,Xin Pi,20
Yang Biao,Yang Biao,19
Ju Shou,Ju Shou,19
Wang Zifu,Wang Zifu,19
Gao Lan,Gao Lan,19
Sun Huan,Sun Huan,19
Ding Yuan,Ding Yuan,18
Fan Chou,Fan Chou,18
Liu Dai,Liu Dai,18
Han Xian,Han Xian,18
Yuan Xi,Yuan Xi,18
Emperor Xian,Emperor Xian,17
Peng Ji,Peng Ji,17
Lady Gan,Lady Gan,17
Wang Lang,Wang Lang,17
Chen Zhen,Chen Zhen,17
San Fu,San Fu,17
Xiahou Shang,Xiahou Shang,17
Zhu Ran,Zhu Ran,17
Wu Ban,Wu Ban,17
Liu Yao,Liu Yao,16
Wei Xu,Wei Xu,16
Zhang Hong,Zhang Hong,16
Ling Bao,Ling Bao,16
Liu Gui,Liu Gui,16
Cao Zhang,Cao Zhang,16
Lu Zhi,Lu Zhi,15
His Majesty,His Majesty,15
Empress He,Empress He,15
Han Fu,Han Fu,15
Song Xian,Song Xian,15
Liu Pi,Liu Pi,15
Zhang Nan,Zhang Nan,15
Feng Xi,Feng Xi,15
Kuai Yue,Kuai Yue,14
Yu Fan,Yu Fan,14
Wang Zhong,Wang Zhong,14
Patriarch Qiao,Patriarch Qiao,14
Zhao Fan,Zhao Fan,14
Cai Yong,Cai Yong,13
Hou Cheng,Hou Cheng,13
Dong Xi,Dong Xi,13
Che Zhou,Che Zhou,13
Cao Xiu,Cao Xiu,13
Jin Yi,Jin Yi,13
Zhang Rang,Zhang Rang,12
Yang Qi,Yang Qi,12
Chen Gui,Chen Gui,12
Fu Wan,Fu Wan,12
Gong Du,Gong Du,12
Sima Yi,Sima Yi,12
Zhou Shan,Zhou Shan,12
Wu Yi,Wu Yi,12
Ma Zhong,Ma Zhong,12
Empress Dong,Empress Dong,11
Lady Wu,Lady Wu,11
Kuai Liang,Kuai Liang,11
Cao Bao,Cao Bao,11
Lady Mi,Lady Mi,11
Gu Yong,Gu Yong,11
Lu Xiang,Lu Xiang,11
Lady Cai,Lady Cai,11
Han Hao,Han Hao,11
Geng Ji,Geng Ji,11
Wei Huang,Wei Huang,11
Wang Fu,Wang Fu,11
Huangfu Song,Huangfu Song,10
Li Yue,Li Yue,10
Han Yin,Han Yin,10
Cai He,Cai He,10
Chen Ying,Chen Ying,10
Huang Kui,Huang Kui,10
Li Hui,Li Hui,10
Xin Ping,Xin Ping,9
Li Yi,Li Yi,9
Huangfu Li,Huangfu Li,9
Dong Zhao,Dong Zhao,9
Yan Baihu,Yan Baihu,9
Hu Ban,Hu Ban,9
Ma Yan,Ma Yan,9
Zhuge Jun,Zhuge Jun,9
Han Xuan,Han Xuan,9
Niu Jin,Niu Jin,9
Xing Darong,Xing Darong,9
Zhong Yao,Zhong Yao,9
Zhang Wei,Zhang Wei,9
Wang Ping,Wang Ping,9
Ruler of Wei,Ruler of Wei,9
Latter Ruler,Latter Ruler,9
Noble Sir,Noble Sir,8
Liu Tao,Liu Tao,8
Bao Xin,Bao Xin,8
Li Meng,Li Meng,8
Wang Fang,Wang Fang,8
Gongsun Kang,Gongsun Kang,8
Lady Xu,Lady Xu,8
Jiang Xu,Jiang Xu,8
Xu Jing,Xu Jing,8
Yan Ren,Yan Ren,8
Yang Ang,Yang Ang,8
Fei Shi,Fei Shi,8
Zhao Lei,Zhao Lei,8
Fu Tong,Fu Tong,8
Jian Shuo,Jian Shuo,7
Sun Zi,Sun Zi,7
Lu Boshe,Lu Boshe,7
Li Feng,Li Feng,7
Yang Hu,Yang Hu,7
Wang Wei,Wang Wei,7
Wei Kang,Wei Kang,7
Dong He,Dong He,7
Cheng Ji,Cheng Ji,7
Zhou Jing,Zhou Jing,6
Wang Kuang,Wang Kuang,6
Huan Jie,Huan Jie,6
Zhang Ying,Zhang Ying,6
Yang Dajiang,Yang Dajiang,6
Han Song,Han Song,6
Wang Zhi,Wang Zhi,6
Cui Yan,Cui Yan,6
Tian Chou,Tian Chou,6
