character,count
Liu Bei,326
Cao Cao,233
Zhang Fei,210
Guan Yu,85
Lü Bu,75
Zhao Yun,63
Zhuge Liang,60
Dong Zhuo,52
The emperor,41
Xiahou Dun,29
the Prince of Ji,27
Sima Zhongxiang,25
Zhang Bao,20
Yuan Shao,19
"Lü Bu,",17
Lü Bu.,16
the prefect,14
Zhang Biao,13
Sima Yi,10
Dong Cheng,10
Chen Gong,10
The eight men,9
Emperor Xian,9
Wang Yun,9
Zhang Jue,8
Ji Ping,8
Xu Shu,8
the Prince of Yan,7
Liu Biao,7
Zhang Liao,7
the Prince of Jing,7
The grand marshal,6
Imperial Father,6
Ji Ling,6
Wen Chou,6
The Prince of Yan,5
Jian Xianhe,5
Ten Constant Attendants,5
Cai Yang,5
Emperor Ling,4
Huangfu Song,4
the prince,4
Sun Jian,4
Yuan Shu,4
Cao Bao,4
Hou Cheng,4
We have,3
Duan Gui,3
Li Su,3
Che Zhou,3
Kuai Yue,3
The schoolteacher,2
Wu Zilan,2
Zhang Ben,2
Cai Mao,2
Sun Quan,1
Zhang Yi,1
The Inspector General,1
The envoy,1
Li Ru,1
the farmer,1
The soldier,1
Yang Feng,1
Xu You,1
Gong Gu,1
The master,1
The acolyte,1
Liu Cong,1
Consort Gan,1
"Empress Lü,",0
the schoolteacher,0
Liu Deran,0
The gatekeeper,0
the spies,0
The woman,0
Cui Lian,0
The farmer,0
Song Wenju,0
Cheng Gong,0
Ma Teng,0
One of those men,0
Ji Xin,0
August Emperor,0
A messenger,0
Ladyship Gan,0
The King of Ji,0
Sima Qian,0
Liu Zhang,0
Liu Feng,0
Xiaohou Dun,0
Liu Qi,0
The mountain grade,0
