Source,Target,weight
Sima Zhongxiang,Sima Yi,10
The emperor,Emperor Ling,5
The emperor,Zhuge Liang,67
The emperor,Zhang Fei,18
The emperor,Liu Bei,62
The emperor,Dong Cheng,12
The emperor,Ten Constant Attendants,6
The emperor,Imperial Father,10
The emperor,the prefect,6
The emperor,Dong Zhuo,15
The emperor,Zhao Yun,14
The emperor,Emperor Xian,13
The emperor,Cao Cao,69
The emperor,Wang Yun,4
The emperor,the Prince of Ji,10
The emperor,Lü Bu,5
The emperor,Guan Yu,10
The emperor,the Prince of Jing,6
The emperor,Ma Teng,7
The emperor,Ma Chao,6
The emperor,Downriver Wu,7
The emperor,Liu Zhang,4
The emperor,Zhang Song,4
The emperor,August Emperor,4
The emperor,Meng Huo,4
The emperor,Liu Shan,12
The emperor,Xiong Kai,4
The emperor,Yi Ji,4
The emperor,Sima Yi,12
Sun Quan,Emperor Xian,4
Sun Quan,Guan Yu,5
Sun Quan,Zhuge Liang,28
Sun Quan,Zhang Fei,6
Sun Quan,Cao Cao,33
Sun Quan,Liu Bei,40
Sun Quan,Zhao Yun,4
Sun Quan,Lu Su,9
Sun Quan,Zhang Zhao,4
Sun Quan,Zhou Yu,10
Emperor Xian,Sun Quan,4
Emperor Xian,Sima Yi,5
Emperor Xian,Zhuge Liang,10
Emperor Xian,Cao Cao,30
Emperor Xian,Liu Bei,15
Emperor Xian,Dong Zhuo,9
Emperor Xian,The emperor,13
Guan Yu,Sun Quan,5
Guan Yu,Zhuge Liang,53
Guan Yu,Zhang Fei,98
Guan Yu,Cao Cao,101
Guan Yu,Liu Bei,132
Guan Yu,Zhao Yun,44
Guan Yu,Zhang Biao,4
Guan Yu,Zhang Bao,4
Guan Yu,the Prince of Ji,15
Guan Yu,Yuan Shao,12
Guan Yu,Lü Bu,11
Guan Yu,"Lü Bu,",4
Guan Yu,Xiahou Dun,10
Guan Yu,Zhang Liao,7
Guan Yu,The emperor,10
Guan Yu,August Emperor,4
Guan Yu,Wen Chou,6
