Source,Target,weight
Zhang Rang,He Jin,4
Zhang Bao,Zhu Jun,5
Zhang Bao,Liu Bei,5
He Jin,Cao Cao,5
He Jin,Yuan Shao,4
He Jin,Zhang Rang,4
Zhu Jun,Huangfu Song,7
Zhu Jun,Zhang Bao,5
Zhu Jun,Liu Bei,12
Zhu Jun,Sun Jian,4
Lu Zhi,Huangfu Song,4
Lu Zhi,Liu Bei,6
Huangfu Song,Zhu Jun,7
Huangfu Song,Lu Zhi,4
Huangfu Song,Liu Bei,4
Zhou Jing,Liu Bei,4
Imperial Protector,Sun Jian,4
Imperial Protector,Han Fu,5
Imperial Protector,Yuan Shao,4
Liu Bei,Gongsun Zan,10
Liu Bei,Lu Zhi,6
Liu Bei,Zhang Fei,17
Liu Bei,Guan Yu,14
Liu Bei,Zhou Jing,4
Liu Bei,Zhu Jun,12
Liu Bei,Zhang Bao,5
Liu Bei,Huangfu Song,4
Liu Bei,Sun Jian,4
Liu Bei,Yuan Shao,5
Gongsun Zan,Liu Bei,10
Gongsun Zan,Yuan Shao,21
Gongsun Zan,Wen Chou,6
Gongsun Zan,Zhao Yun,6
Zhang Fei,Guan Yu,17
Zhang Fei,Liu Bei,17
Zhang Fei,Dong Zhuo,4
Guan Yu,Zhang Fei,17
Guan Yu,Liu Bei,14
Cao Cao,He Jin,5
Cao Cao,Yuan Shao,10
Cao Cao,Yuan Shu,5
Cao Cao,Dong Zhuo,16
Cao Cao,Lu Bu,8
Cao Cao,Lu Boshe,5
Cao Cao,Chen Gong,7
Cao Cao,Xiahou Dun,5
Cao Cao,Cao Hong,5
Dong Zhuo,Zhang Fei,4
Dong Zhuo,Ding Yuan,7
Dong Zhuo,Li Su,8
Dong Zhuo,Lu Bu,37
Dong Zhuo,Zhang Ji,4
Dong Zhuo,Guo Si,5
Dong Zhuo,Li Jue,8
Dong Zhuo,Fan Chou,4
Dong Zhuo,Li Ru,18
Dong Zhuo,Yuan Shao,9
Dong Zhuo,Cao Cao,16
Dong Zhuo,Prime Minister,5
Dong Zhuo,Wang Yun,20
Dong Zhuo,Sun Jian,7
Dong Zhuo,Diao Chan,6
Sun Jian,Zhu Jun,4
Sun Jian,Imperial Protector,4
Sun Jian,Liu Bei,4
Sun Jian,Cheng Pu,10
Sun Jian,Huang Gai,9
Sun Jian,Han Dang,5
Sun Jian,Yuan Shao,12
Sun Jian,Dong Zhuo,7
Sun Jian,Yuan Shu,5
Sun Jian,Liu Biao,12
Sun Jian,Cai Mao,5
Sun Jian,Kuai Liang,4
Sun Jian,Huang Zu,5
Empress He,Empress Dong,4
Empress Dong,Empress He,4
Empress Dong,Liu Xian,4
Liu Xian,Empress Dong,4
Yuan Shao,He Jin,4
Yuan Shao,Cao Cao,10
Yuan Shao,Yuan Shu,5
Yuan Shao,Dong Zhuo,9
Yuan Shao,Sun Jian,12
Yuan Shao,Gongsun Zan,21
Yuan Shao,Liu Bei,5
Yuan Shao,Wen Chou,4
Yuan Shao,Liu Biao,6
Yuan Shao,Imperial Protector,4
Yuan Shao,Han Fu,7
Yuan Shao,Zhao Yun,4
Ding Yuan,Li Su,4
Ding Yuan,Dong Zhuo,7
Ding Yuan,Lu Bu,9
Li Su,Ding Yuan,4
Li Su,Dong Zhuo,8
Li Su,Lu Bu,17
Lu Bu,Ding Yuan,9
Lu Bu,Li Su,17
Lu Bu,Dong Zhuo,37
Lu Bu,Li Ru,9
Lu Bu,Cao Cao,8
Lu Bu,Guo Si,6
Lu Bu,Li Jue,7
Lu Bu,Wang Yun,19
Lu Bu,Prime Minister,9
Lu Bu,Diao Chan,12
Zhang Ji,Dong Zhuo,4
Zhang Ji,Guo Si,6
Zhang Ji,Li Jue,6
Zhang Ji,Fan Chou,7
Guo Si,Zhang Ji,6
Guo Si,Dong Zhuo,5
Guo Si,Li Jue,9
Guo Si,Fan Chou,7
Guo Si,Lu Bu,6
Li Jue,Zhang Ji,6
Li Jue,Dong Zhuo,8
Li Jue,Guo Si,9
Li Jue,Fan Chou,7
Li Jue,Lu Bu,7
Li Jue,Wang Yun,4
Fan Chou,Zhang Ji,7
Fan Chou,Dong Zhuo,4
Fan Chou,Guo Si,7
Fan Chou,Li Jue,7
Li Ru,Dong Zhuo,18
Li Ru,Lu Bu,9
Yuan Shu,Yuan Shao,5
Yuan Shu,Cao Cao,5
Yuan Shu,Sun Jian,5
Wang Yun,Dong Zhuo,20
Wang Yun,Lu Bu,19
Wang Yun,Prime Minister,7
Wang Yun,Li Jue,4
Prime Minister,Dong Zhuo,5
Prime Minister,Lu Bu,9
Prime Minister,Wang Yun,7
Prime Minister,Diao Chan,4
Chen Gong,Cao Cao,7
Lu Boshe,Cao Cao,5
Xiahou Yuan,Xiahou Dun,4
Xiahou Dun,Xiahou Yuan,4
Xiahou Dun,Cao Cao,5
Cao Hong,Cao Cao,5
Han Fu,Imperial Protector,5
Han Fu,Yuan Shao,7
Cheng Pu,Sun Jian,10
Cheng Pu,Huang Gai,7
Cheng Pu,Han Dang,4
Huang Gai,Cheng Pu,7
Huang Gai,Sun Jian,9
Huang Gai,Han Dang,4
Huang Gai,Huang Zu,5
Han Dang,Cheng Pu,4
Han Dang,Sun Jian,5
Han Dang,Huang Gai,4
Wen Chou,Yuan Shao,4
Wen Chou,Gongsun Zan,6
Liu Biao,Sun Jian,12
Liu Biao,Yuan Shao,6
Liu Biao,Kuai Liang,5
Liu Biao,Cai Mao,5
Liu Biao,Huang Zu,4
Kuai Liang,Liu Biao,5
Kuai Liang,Sun Jian,4
Kuai Yue,Cai Mao,5
Cai Mao,Liu Biao,5
Cai Mao,Kuai Yue,5
Cai Mao,Sun Jian,5
Zhao Yun,Yuan Shao,4
Zhao Yun,Gongsun Zan,6
Huang Zu,Sun Jian,5
Huang Zu,Liu Biao,4
Huang Zu,Huang Gai,5
Diao Chan,Lu Bu,12
Diao Chan,Prime Minister,4
Diao Chan,Dong Zhuo,6
