character,count
Cao Cao,2069
Liu Bei,1497
Zhuge Liang,1321
Guan Yu,755
Sun Quan,475
Lu Bu,439
Zhang Fei,435
Sima Yi,422
Zhou Yu,420
Zhao Yun,392
Jiang Wei,378
Prime Minister,351
Yuan Shao,346
Wei Yan,279
Dong Zhuo,229
Lu Su,220
Ma Chao,215
Deng Ai,213
Zhang He,187
Sun Ce,176
Liu Biao,167
Huang Zhong,164
Imperial Protector,152
Sima Zhao,151
Zhang Liao,149
South Land,139
Latter Ruler,135
First Ruler,133
Cao Ren,131
Xu Huang,129
Yuan Shu,122
Meng Huo,121
Cao Zhen,120
Ruler of Wei,118
Xiahou Dun,116
Lu Xun,114
Zhong Hui,113
Xu Chu,107
Ma Dai,107
Pang Tong,106
Guan Xing,106
Yu Ji,102
Cao Pi,100
Pang De,99
Lu Meng,99
Cao Hong,98
Zhang Yi,98
Liu Zhang,97
Li Jue,95
Sun Jian,93
Gan Ning,90
Zhang Bao,89
Xiahou Yuan,89
Wang Ping,89
Guo Huai,88
Chen Gong,85
Sun Qian,85
Dong Cheng,85
Wang Yun,84
Guo Si,81
Huang Gai,81
Yu Jin,81
Meng Da,80
Sima Shi,78
Zhang Zhao,76
Jia Xu,74
Guan Ping,72
Li Dian,71
Cao Xi,71
Liao Hua,71
Cai Mao,70
Xun Yu,66
Cao Shuang,66
Gongsun Zan,65
Zhang Lu,63
Cao Rui,63
Yuan Shang,60
Cheng Pu,58
Mi Zhu,58
Taishi Ci,57
Zhuge Jin,57
Han Sui,56
Yang Yi,56
Xiahou Ba,56
Zhou Tai,54
Yuan Tan,54
Zhang Song,54
Kong Rong,53
Chen Deng,53
Ma Su,53
Cao Xiu,53
Ma Teng,52
Liu Feng,52
Xu Sheng,51
Han Dang,50
Zhang Xiu,50
Xiahou Mao,50
Cheng Yu,49
Fa Zheng,49
Yan Yan,49
Li Ru,48
Dian Wei,48
Shen Pei,48
Ding Feng,48
Yang Feng,47
He Jin,45
Guo Jia,45
Deng Zhi,45
Yue Jin,44
Huang Zu,44
Xu Shu,44
Zhang Ni,44
Tao Qian,43
Hua Xin,41
Jia Chong,41
Liu Qi,40
Jiang Gan,40
Fei Yi,40
Yang Xiu,39
Sun Li,39
Kan Ze,38
Guan Lu,38
Ma Zhong,38
Zhuge Ke,37
Wang Ji,36
Xun You,35
Wen Chou,35
Ling Tong,35
Chen Tai,35
Li Su,34
Xu You,34
Wang Lang,34
Zhuge Dan,34
Guo Tu,33
Yang Hu,33
Sun Chen,33
Liu Ye,32
Zhang Ji,31
Tian Feng,31
Mi Heng,31
Zhang Ren,31
Man Chong,30
Jian Yong,30
Lady Sun,30
Huang Quan,30
Gao Ding,30
Gao Shun,29
Ma Liang,29
Wu Ban,29
Sun Hao,29
Huang Hao,28
His Majesty,27
Sima Yan,27
Zhu Jun,26
